;Year;Month;Day;H;M;S;Lat;Lon;Depth;K;Mag;Energy E, MJ(megajoul).
;838;0;0;0;0;0;40,4;71,8;20;13,5;5,3;3,162
;914;0;0;0;0;0;40;64;20;15;6,3;100,000
;942;0;0;0;0;0;39,5;64;20;16,1;7,0;1258,925
;1175;0;0;0;0;0;37,5;65,5;20;16,8;7,5;6309,573
;1208;0;0;0;0;0;42;60;20;15;6,3;100,000
;1390;0;0;0;0;0;39,5;64;20;15;6,3;100,000
;1490;0;0;0;0;0;39,4;67,1;20;14,4;5,9;25,119
;1494;0;0;0;0;0;41;71,6;20;13,2;5,1;1,585
;1620;0;0;0;0;0;40,9;71,4;20;14,4;5,9;25,119
;1799;0;0;0;0;0;39,4;67,19;20;14,8;6,1;63,096
;1817;0;0;0;0;0;39,4;67,1;20;13,5;5,3;3,162
;1821;0;0;0;0;0;39,5;64,5;20;15,5;6,6;316,228
;1821;0;0;0;0;0;39,5;64;20;15,5;6,6;316,228
;1822;0;0;0;0;0;40,3;71,5;20;15,2;6,4;158,489
;1823;0;0;0;0;0;40,3;71,5;20;15,2;6,4;158,489
;1865;0;0;0;0;0;42,7;73,19;20;15,5;6,6;316,228
;1868;0;0;0;0;0;41,2;69,6;20;15,7;6,7;501,187
;1869;0;0;0;0;0;39,8;69,5;20;13,9;5,5;7,943
;1880;0;0;0;0;0;39,4;67,3;20;13,2;5,1;1,585
;1883;0;0;0;0;0;40,59;72,8;20;13,9;5,5;7,943
;1886;0;0;0;0;0;41,4;69,5;20;16,1;7,0;1258,925
;1888;0;0;0;0;0;42,8;73,3;20;12,6;4,8;0,398
;1888;0;0;0;0;0;40;69,8;20;15,3;6,5;199,526
;1891;0;0;0;0;0;41,3;69,3;20;11,2;4,0;0,016
;1892;0;0;0;0;0;40,7;66,5;20;15;6,3;100,000
;1893;0;0;0;0;0;39,5;69,4;20;14,6;6,0;39,811
;1894;0;0;0;0;0;41;71,19;20;13;5,0;1,000
;1895;0;0;0;0;0;40;73;20;14,8;6,1;63,096
;1896;0;0;0;0;0;41,5;70,9;20;15,9;6,9;794,328
;1896;0;0;0;0;0;37;68;20;13,4;5,2;2,512
;1896;0;0;0;0;0;39,59;73,6;20;14,1;5,7;12,589
;1897;0;0;0;0;0;39,8;68,4;20;15,9;6,9;794,328
;1897;0;0;0;0;0;39,9;68;20;16,1;7,0;1258,925
;1901;0;0;0;0;0;37,8;66,19;20;12,3;4,6;0,200
;1902;0;0;0;0;0;40;71;20;14,4;5,9;25,119
;1902;0;0;0;0;0;39,5;68,5;20;14,8;6,1;63,096
;1902;0;0;0;0;0;38,5;67;20;15,2;6,4;158,489
;1902;0;0;0;0;0;37,8;65,5;20;12,8;4,9;0,631
;1902;0;0;0;0;0;40,8;72,3;20;15,5;6,6;316,228
;1903;0;0;0;0;0;40,8;72,69;20;15;6,3;100,000
;1905;0;0;0;0;0;40,09;67,9;20;11,6;4,2;0,040
;1906;0;0;0;0;0;40;66,5;20;11,9;4,4;0,079
;1906;0;0;0;0;0;37,2;67,3;20;14,3;5,8;19,953
;1907;0;0;0;0;0;40,3;72,5;20;14,4;5,9;25,119
;1907;0;0;0;0;0;40,3;72,5;20;13,9;5,5;7,943
;1907;0;0;0;0;0;38,5;67,9;20;17,3;7,8;19952,623
;1907;0;0;0;0;0;38,7;68,1;20;17,1;7,7;12589,254
;1907;0;0;0;0;0;37,8;65,8;20;15;6,3;100,000
;1907;0;0;0;0;0;38,8;68,4;20;15,2;6,4;158,489
;1907;0;0;0;0;0;38,5;66,5;20;14,4;5,9;25,119
;1908;0;0;0;0;0;42,8;71,3;20;13,5;5,3;3,162
;1908;0;0;0;0;0;40,9;71;20;13,7;5,4;5,012
;1912;0;0;0;0;0;41;71,69;20;13,4;5,2;2,512
;1912;0;0;0;0;0;40,8;70;20;13,4;5,2;2,512
;1913;0;0;0;0;0;40,4;71,8;20;12,6;4,8;0,398
;1913;0;0;0;0;0;41;71,5;20;12,6;4,8;0,398
;1914;0;0;0;0;0;40,3;71,8;20;13,7;5,4;5,012
;1914;0;0;0;0;0;40,7;73,1;20;13,2;5,1;1,585
;1915;0;0;0;0;0;39,2;67,8;20;14,3;5,8;19,953
;1915;0;0;0;0;0;40;71,3;20;12,8;4,9;0,631
;1917;0;0;0;0;0;42,5;68,8;20;13;5,0;1,000
;1920;0;0;0;0;0;41,5;71;20;14,1;5,7;12,589
;1923;0;0;0;0;0;39,5;72;20;14,1;5,7;12,589
;1923;0;0;0;0;0;39,59;69,19;20;15,5;6,6;316,228
;1924;0;0;0;0;0;41;70,5;20;13;5,0;1,000
;1924;0;0;0;0;0;41,3;69,19;20;11,7;4,3;0,050
;1924;0;0;0;0;0;40,5;73,1;20;15,5;6,6;316,228
;1924;0;0;0;0;0;40,59;73,19;20;15,7;6,7;501,187
;1925;0;0;0;0;0;40,3;62;20;13,4;5,2;2,512
;1926;0;0;0;0;0;39,4;67,19;20;12,1;4,5;0,126
;1926;0;0;0;0;0;40,2;69,5;20;12,6;4,8;0,398
;1926;0;0;0;0;0;37,7;66,1;20;11,9;4,4;0,079
;1926;0;0;0;0;0;40,59;69,5;20;13,7;5,4;5,012
;1926;0;0;0;0;0;39,5;72;20;13,5;5,3;3,162
;1926;0;0;0;0;0;40,9;73,1;20;13,5;5,3;3,162
;1927;0;0;0;0;0;41,5;70,8;20;13,4;5,2;2,512
;1927;0;0;0;0;0;41;71,6;20;14,8;6,1;63,096
;1927;0;0;0;0;0;41;71,6;20;13,9;5,5;7,943
;1927;0;0;0;0;0;41;71,6;20;12,6;4,8;0,398
;1928;0;0;0;0;0;39;67;20;13,5;5,3;3,162
;1928;0;0;0;0;0;42;72,3;20;13,4;5,2;2,512
;1928;0;0;0;0;0;39,4;67,19;20;13,7;5,4;5,012
;1928;0;0;0;0;0;41,8;72,9;20;13,9;5,5;7,943
;1928;0;0;0;0;0;39,59;67,1;20;12,3;4,6;0,200
;1928;0;0;0;0;0;41,5;73,6;20;13;5,0;1,000
;1929;0;0;0;0;0;41;71,6;20;11,2;4,0;0,016
;1929;0;0;0;0;0;43,2;67,1;20;15,5;6,6;316,228
;1929;0;0;0;0;0;37,3;66,5;20;14,3;5,8;19,953
;1929;0;0;0;0;0;42,9;66,8;20;13,4;5,2;2,512
;1929;0;0;0;0;0;41,5;63,5;20;13,4;5,2;2,512
;1929;0;0;0;0;0;43,2;66,8;20;13,5;5,3;3,162
;1929;0;0;0;0;0;41,2;69;20;12,3;4,6;0,200
;1929;0;0;0;0;0;39,9;70,4;20;12,6;4,8;0,398
;1930;0;0;0;0;0;41,1;71,8;20;12,1;4,5;0,126
;1930;0;0;0;0;0;40,2;69,69;20;13,2;5,1;1,585
;1930;0;0;0;0;0;42,7;70,69;20;11,6;4,2;0,040
;1930;0;0;0;0;0;42,3;69,69;20;9,4;3,0;0,000
;1930;0;0;0;0;0;41,9;69,1;20;13;5,0;1,000
;1931;0;0;0;0;0;39,7;69,6;20;12,1;4,5;0,126
;1932;0;0;0;0;0;42,2;71,4;20;12,1;4,5;0,126
;1932;0;0;0;0;0;40,9;72,19;20;12,5;4,7;0,316
;1932;0;0;0;0;0;41,4;65,6;20;15,2;6,4;158,489
;1933;0;0;0;0;0;42,9;56,5;20;12,1;4,5;0,126
;1933;0;0;0;0;0;40,09;70,69;20;13,9;5,5;7,943
;1933;0;0;0;0;0;42;72;20;12,5;4,7;0,316
;1934;0;0;0;0;0;40;69,6;20;11,9;4,4;0,079
;1935;0;0;0;0;0;39,8;67,5;20;13,5;5,3;3,162
;1935;0;0;0;0;0;38,3;67,4;20;15,2;6,4;158,489
;1935;0;0;0;0;0;39,5;73,5;20;14,3;5,8;19,953
;1935;0;0;0;0;0;39,5;73,5;20;13,5;5,3;3,162
;1936;0;0;0;0;0;39,59;73,1;20;13,4;5,2;2,512
;1937;0;0;0;0;0;39,7;71,5;20;12,5;4,7;0,316
;1937;0;0;0;0;0;41;72,6;20;12,1;4,5;0,126
;1937;0;0;0;0;0;41;71,5;20;12,1;4,5;0,126
;1937;0;0;0;0;0;42,8;72,69;20;11,7;4,3;0,050
;1937;0;0;0;0;0;42,1;70,9;20;15,7;6,7;501,187
;1938;0;0;0;0;0;41,3;69,3;20;10,3;3,5;0,002
;1939;0;0;0;0;0;42,9;67,1;20;12,6;4,8;0,398
;1939;0;0;0;0;0;39,5;67,69;20;11,4;4,1;0,025
;1939;0;0;0;0;0;39,5;73,8;20;12,1;4,5;0,126
;1940;0;0;0;0;0;39,59;69,5;20;12,8;4,9;0,631
;1940;0;0;0;0;0;41;71;20;12,1;4,5;0,126
;1940;0;0;0;0;0;39,59;73,5;20;12,1;4,5;0,126
;1941;0;0;0;0;0;40,8;71,3;20;13,2;5,1;1,585
;1942;0;0;0;0;0;41,1;71,6;20;14,6;6,0;39,811
;1942;0;0;0;0;0;40,9;72,1;20;13,9;5,5;7,943
;1944;0;0;0;0;0;39,7;73,1;20;14,8;6,1;63,096
;1944;0;0;0;0;0;39,59;73;20;13,2;5,1;1,585
;1944;0;0;0;0;0;39,59;73;20;13,7;5,4;5,012
;1944;0;0;0;0;0;42,5;73;20;12,6;4,8;0,398
;1946;0;0;0;0;0;41,9;72;20;17,5;7,9;31622,777
;1946;0;0;0;0;0;41,7;72,19;20;13,5;5,3;3,162
;1946;0;0;0;0;0;41,9;72;20;13,4;5,2;2,512
;1946;0;0;0;0;0;41,6;71,9;20;13,4;5,2;2,512
;1946;0;0;0;0;0;42;72;20;14,3;5,8;19,953
;1946;0;0;0;0;0;41,9;71,9;20;12,5;4,7;0,316
;1946;0;0;0;0;0;42;72,1;20;12,5;4,7;0,316
;1947;0;0;0;0;0;41,8;72,3;20;13,5;5,3;3,162
;1947;0;0;0;0;0;42;72,4;20;12,5;4,7;0,316
;1947;0;0;0;0;0;41;72,3;20;13;5,0;1,000
;1947;0;0;0;0;0;40,9;72,3;20;14,6;6,0;39,811
;1948;0;0;0;0;0;41,9;72,19;20;13,7;5,4;5,012
;1948;0;0;0;0;0;41,7;72,19;20;12,1;4,5;0,126
;1948;0;0;0;0;0;42,5;70,4;20;11,9;4,4;0,079
;1948;0;0;0;0;0;39,2;68,1;20;13,7;5,4;5,012
;1949;0;0;0;0;0;41,9;72,3;20;12,5;4,7;0,316
;1949;0;0;0;0;0;42;72,69;20;13;5,0;1,000
;1951;0;0;0;0;0;39,62;71,19;20;13,7;5,4;5,012
;1951;0;0;0;0;0;39,59;73,69;20;12,5;4,7;0,316
;1953;0;0;0;0;0;42,2;71,8;20;12,6;4,8;0,398
;1953;0;0;0;0;0;42,7;69,9;20;12,1;4,5;0,126
1;1955;1;1;17;20;37;40,6;73,6;5;10,4;3,6;0,003
;1955;1;2;11;17;49;41,6;73,1;5;11,1;3,9;0,013
;1955;1;2;13;39;31;41,8;72,5;5;9,7;3,2;0,001
;1955;1;3;2;48;6;39,57;71,24;5;8,6;2,6;0,000
;1955;1;3;15;27;21;39,57;71,24;5;8,6;2,6;0,000
;1955;1;4;10;44;44;39,75;71;5;9,8;3,2;0,001
;1955;1;11;17;21;22;41,1;71,6;5;9;2,8;0,000
;1955;1;11;18;48;56;40,1;69,5;5;10,6;3,7;0,004
;1955;1;16;1;9;19;41,7;72,5;5;10;3,3;0,001
;1955;1;23;22;23;38;40,9;73,3;5;9,6;3,1;0,000
;1955;1;26;19;16;50;40,2;71,1;5;8,7;2,6;0,000
;1955;1;27;6;56;27;39,55;71,24;5;11,1;3,9;0,013
;1955;1;29;7;51;0;42,3;73,2;5;9;2,8;0,000
;1955;2;2;16;15;12;41,3;71,7;5;9,7;3,2;0,001
;1955;2;2;20;29;0;41,5;72;5;8,8;2,7;0,000
;1955;2;9;3;36;37;40,52;73,37;5;11,5;4,2;0,032
;1955;2;9;3;41;27;40,5;73,3;5;11;3,9;0,010
;1955;2;12;21;44;26;40,07;69,29;5;11,3;4,1;0,020
;1955;2;13;13;42;29;39,6;73,7;5;9,6;3,1;0,000
;1955;2;14;7;37;0;40,1;70,5;5;9,1;2,8;0,000
;1955;2;17;5;37;45;39,7;70,9;5;8,9;2,7;0,000
;1955;2;20;0;15;57;39,7;71,6;5;9,6;3,1;0,000
;1955;2;21;21;25;48;40,7;72,7;5;10,6;3,7;0,004
;1955;2;22;20;9;1;40,8;73,3;5;11,4;4,1;0,025
;1955;3;3;8;2;33;37,3;67,7;5;10,3;3,5;0,002
;1955;3;5;21;33;32;39,4;66,5;5;9,6;3,1;0,000
;1955;3;10;2;52;12;39,6;72;5;9,5;3,1;0,000
;1955;3;18;5;5;58;40,1;70,3;5;9,3;2,9;0,000
;1955;3;20;4;55;46;41,8;71,9;5;10;3,3;0,001
;1955;3;23;8;56;9;39,68;71,47;10;8,9;2,7;0,000
;1955;3;23;16;7;42;39,7;71,5;5;8,6;2,6;0,000
;1955;3;26;15;20;14;39,9;66,18;5;11,3;4,1;0,020
;1955;3;26;20;43;39;40,4;72,6;5;9;2,8;0,000
;1955;3;28;9;56;39;40,2;72,1;5;9;2,8;0,000
;1955;4;1;6;32;50;39,58;71,24;5;8,9;2,7;0,000
;1955;4;1;23;8;55;37,5;67,6;5;8,6;2,6;0,000
;1955;4;5;18;26;44;41,4;73,4;5;8,6;2,6;0,000
;1955;4;6;13;24;4;41;74;5;10,2;3,4;0,002
;1955;4;7;19;56;17;39,63;71,25;10;8,6;2,6;0,000
;1955;4;7;23;24;47;41,6;71,6;5;10,6;3,7;0,004
;1955;4;10;6;39;51;41,4;73,4;5;11,3;4,1;0,020
;1955;4;13;23;19;13;39,8;73,9;5;9,6;3,1;0,000
;1955;4;18;15;55;35;40,2;72,8;5;9,8;3,2;0,001
;1955;4;26;4;22;29;40,2;71,8;5;9,7;3,2;0,001
;1955;4;28;5;20;28;42,3;72,1;5;9,9;3,3;0,001
;1955;4;30;13;42;56;39,7;67,9;5;9,2;2,9;0,000
;1955;5;4;3;28;2;39,58;71,17;5;9,3;2,9;0,000
;1955;5;4;18;57;12;39,57;71,25;5;9,6;3,1;0,000
;1955;5;7;2;1;15;40,7;73,3;5;9;2,8;0,000
;1955;5;8;22;44;27;39,57;71,25;5;8,7;2,6;0,000
;1955;5;9;18;45;37;39,57;71,25;5;8,6;2,6;0,000
;1955;5;10;18;4;17;40,8;72,4;5;10,6;3,7;0,004
;1955;5;19;23;22;30;40,5;73,6;5;9,4;3,0;0,000
;1955;5;20;0;39;24;40,5;73,6;5;11,1;3,9;0,013
;1955;5;26;8;45;49;39,9;73,3;5;8,9;2,7;0,000
;1955;5;27;1;15;26;39,6;67,9;5;8,6;2,6;0,000
;1955;5;27;20;7;19;40,7;72;5;9;2,8;0,000
;1955;6;3;9;24;47;40;69;5;9,6;3,1;0,000
;1955;6;4;12;19;25;39,6;71,6;5;10,3;3,5;0,002
;1955;6;4;19;17;0;40,8;73,4;5;10,4;3,6;0,003
;1955;6;5;13;46;38;41,8;72,5;5;9,8;3,2;0,001
;1955;6;5;19;49;49;42,2;71;5;10,9;3,8;0,008
;1955;6;10;16;10;39;40,9;71,8;5;10,4;3,6;0,003
;1955;6;18;7;10;38;40,3;72,3;5;9,4;3,0;0,000
;1955;6;23;11;19;22;41,9;71,1;20;13,3;5,2;1,995
;1955;6;25;0;49;47;39,7;70,83;5;8,7;2,6;0,000
;1955;6;26;2;15;44;39,63;71,02;5;9,9;3,3;0,001
;1955;6;27;21;33;10;39,91;69,18;5;10,7;3,7;0,005
;1955;7;19;0;19;40;40,6;73,4;5;9,5;3,1;0,000
;1955;7;19;8;47;38;39,7;68;14;13,6;5,3;3,981
;1955;8;3;9;8;4;41,1;71,6;5;9,4;3,0;0,000
;1955;8;6;2;55;15;42;65;30;12,9;4,9;0,794
;1955;8;8;12;18;24;40;72,2;5;9,2;2,9;0,000
;1955;8;10;3;4;59;41,8;71,2;5;10,4;3,6;0,003
;1955;8;11;16;44;4;41,4;71,7;5;9,2;2,9;0,000
;1955;8;17;14;59;44;40,3;73,5;5;9,6;3,1;0,000
;1955;8;19;1;36;25;39,8;73,6;5;8,8;2,7;0,000
;1955;8;24;17;8;13;42;72,4;5;9,8;3,2;0,001
;1955;8;26;18;1;35;40,4;73,3;5;10,3;3,5;0,002
;1955;8;27;16;30;9;39,53;71,22;5;8,6;2,6;0,000
;1955;9;1;2;2;6;40,6;70,4;5;9,8;3,2;0,001
;1955;9;2;1;21;53;40,6;72,7;5;9,6;3,1;0,000
;1955;9;3;1;50;33;38,6;67,8;5;8,7;2,6;0,000
;1955;9;8;18;40;32;41,6;72,1;5;9;2,8;0,000
;1955;9;11;8;35;24;40,1;70,2;5;8,6;2,6;0,000
;1955;9;16;2;9;27;40,6;73,6;5;9,5;3,1;0,000
;1955;9;16;14;10;47;41,7;73;5;10,6;3,7;0,004
;1955;9;19;1;37;41;41,3;72,4;5;9,3;2,9;0,000
;1955;9;20;2;30;33;40,7;73,3;5;10;3,3;0,001
;1955;9;20;5;4;10;39,6;74;5;9,4;3,0;0,000
;1955;9;22;2;45;30;39,6;72,2;5;8,9;2,7;0,000
;1955;9;29;8;0;43;38,5;67,8;5;8,8;2,7;0,000
;1955;10;1;16;25;30;40;72,4;5;10,1;3,4;0,001
;1955;10;2;16;4;25;40,6;73;5;9,2;2,9;0,000
;1955;10;9;4;46;0;43,2;69,4;5;11;3,9;0,010
;1955;10;9;11;52;40;40,3;73,6;5;9;2,8;0,000
;1955;10;20;13;59;45;39,6;73,5;5;9,9;3,3;0,001
;1955;10;21;0;44;58;39,7;71,5;5;8,7;2,6;0,000
;1955;10;21;17;4;39;39,55;71,22;5;8,6;2,6;0,000
;1955;10;25;2;29;7;40,1;73,3;5;9,3;2,9;0,000
;1955;11;17;23;47;20;40,9;73,3;5;9,6;3,1;0,000
;1955;11;25;12;3;24;39,5;67,7;5;10,9;3,8;0,008
;1955;12;2;9;58;4;40,4;71,8;5;9;2,8;0,000
;1955;12;3;6;44;4;38,9;68;5;8,9;2,7;0,000
;1955;12;4;19;33;13;39,62;70,92;10;10;3,3;0,001
;1956;1;1;15;52;52;38,7;67,8;5;10,4;3,6;0,003
;1956;1;4;2;34;42;41,2;71,5;5;9,6;3,1;0,000
;1956;1;12;21;29;4;39,6;74;5;9,3;2,9;0,000
;1956;1;12;23;25;38;41,2;73,6;5;10,4;3,6;0,003
;1956;1;17;12;7;31;40,6;73,8;5;10,3;3,5;0,002
;1956;1;17;17;43;46;39,7;73,5;5;11,4;4,1;0,025
;1956;1;19;21;53;59;41,6;71,5;5;9,4;3,0;0,000
;1956;1;23;13;24;13;38,6;68;5;9,1;2,8;0,000
;1956;1;24;12;50;27;39,2;66,6;5;9,1;2,8;0,000
;1956;1;26;22;36;50;41,4;71;5;10;3,3;0,001
;1956;2;14;21;34;5;39,8;72,2;5;9,4;3,0;0,000
;1956;2;19;0;38;30;40,9;71,1;5;9,7;3,2;0,001
;1956;2;21;4;36;5;41,3;73,4;5;11;3,9;0,010
;1956;2;21;11;0;35;41,7;71,5;5;10,6;3,7;0,004
;1956;2;21;19;10;44;39,8;74;5;9,6;3,1;0,000
;1956;2;24;7;16;14;39,8;72,3;5;9,5;3,1;0,000
;1956;2;28;23;11;1;39,8;72,3;5;11,2;4,0;0,016
;1956;3;1;4;10;44;40,4;73,7;5;9,5;3,1;0,000
;1956;3;23;0;41;12;41,2;72,5;5;9,5;3,1;0,000
;1956;3;23;18;34;31;41,1;72,6;5;11,5;4,2;0,032
;1956;3;24;6;25;12;41,1;72,5;5;9;2,8;0,000
;1956;3;26;4;14;14;40,4;72,3;5;9,3;2,9;0,000
;1956;3;29;14;11;0;41;72;5;10,2;3,4;0,002
;1956;4;6;22;31;13;41,7;71,7;5;9,9;3,3;0,001
;1956;4;9;6;1;15;40,9;73,6;5;10;3,3;0,001
;1956;4;10;20;56;28;40,9;72,3;5;9;2,8;0,000
;1956;4;21;5;19;21;40,8;72,2;5;10,2;3,4;0,002
;1956;4;22;21;33;46;39,5;73,1;5;9;2,8;0,000
;1956;4;29;13;27;52;41,9;71,8;5;10,4;3,6;0,003
;1956;4;30;5;10;53;41,4;72,5;5;9,5;3,1;0,000
;1956;4;30;6;4;58;40,2;73,2;5;9;2,8;0,000
;1956;5;2;3;58;52;42;72;5;8,6;2,6;0,000
;1956;5;7;23;31;0;41,9;72,2;5;11,7;4,3;0,050
;1956;5;9;23;28;14;40,1;69,5;5;10,9;3,8;0,008
;1956;5;14;6;39;44;41,7;71,3;5;10,4;3,6;0,003
;1956;5;16;20;54;23;42,1;72,3;5;9;2,8;0,000
;1956;5;20;8;5;54;39,6;72,5;5;9,9;3,3;0,001
;1956;5;26;1;23;28;42;72;5;10,7;3,7;0,005
;1956;5;30;12;55;50;40;67,5;5;9,5;3,1;0,000
;1956;6;3;16;6;0;38;67,6;5;11;3,9;0,010
;1956;6;3;18;44;8;37,8;67,4;5;10,1;3,4;0,001
;1956;6;7;3;51;12;38,08;68,32;25;8,6;2,6;0,000
;1956;6;14;9;3;36;41;72,5;5;9,6;3,1;0,000
;1956;6;14;9;59;10;40,04;71,7;5;8,9;2,7;0,000
;1956;6;16;4;9;59;39,6;72,9;5;9,3;2,9;0,000
;1956;6;16;17;38;29;41,7;72,6;5;9;2,8;0,000
;1956;6;26;10;55;0;41,1;74;5;9;2,8;0,000
;1956;6;30;23;23;36;40,2;69,8;5;11,5;4,2;0,032
;1956;7;8;18;56;6;41;72,7;5;9;2,8;0,000
;1956;7;15;12;49;40;41,3;71,9;5;10,2;3,4;0,002
;1956;8;2;15;57;34;40,7;71,8;5;10,6;3,7;0,004
;1956;8;8;14;4;31;39,2;67,2;5;9,9;3,3;0,001
;1956;8;9;3;51;19;39,4;68;5;12,1;4,5;0,126
;1956;8;12;2;28;40;40,7;73,5;5;9,6;3,1;0,000
;1956;8;21;10;30;13;39,5;73;5;9,1;2,8;0,000
;1956;8;27;6;37;31;39,5;71,3;5;8,9;2,7;0,000
;1956;9;4;3;38;34;40,8;73,5;5;9,6;3,1;0,000
;1956;9;6;22;40;38;41,8;73;5;11,6;4,2;0,040
;1956;9;8;5;37;13;40,3;72;5;9,1;2,8;0,000
;1956;9;8;18;14;32;39,6;73,1;5;9,6;3,1;0,000
;1956;9;10;2;13;46;37,1;67,7;5;11,4;4,1;0,025
;1956;9;11;2;22;6;40,7;73,3;5;10,7;3,7;0,005
;1956;9;11;9;8;22;39,5;72;5;8,9;2,7;0,000
;1956;9;15;2;29;56;40,3;71,8;5;9,5;3,1;0,000
;1956;9;20;5;3;43;41,6;73,2;5;9,7;3,2;0,001
;1956;9;21;4;41;11;39,5;72,7;5;10,9;3,8;0,008
;1956;9;21;20;11;19;39,97;71,23;5;8,7;2,6;0,000
;1956;9;26;4;4;15;40,8;74;5;9;2,8;0,000
;1956;9;29;5;36;56;40,1;71,8;5;9;2,8;0,000
;1956;10;4;0;58;24;41,12;69,1;15;11,2;4,0;0,016
;1956;10;4;3;16;3;39,9;71,9;5;9;2,8;0,000
;1956;10;5;23;29;38;41,8;72,5;5;9,7;3,2;0,001
;1956;10;15;23;31;30;41,2;73,1;5;9,5;3,1;0,000
;1956;10;21;3;30;46;40,2;72,3;5;9,6;3,1;0,000
;1956;10;22;7;9;53;39,6;70,65;10;9,4;3,0;0,000
;1956;11;22;22;22;18;42;72;5;9;2,8;0,000
;1956;11;24;22;25;8;40,4;69,9;5;9,9;3,3;0,001
;1956;11;25;9;57;58;39,83;70,33;10;9,8;3,2;0,001
;1956;11;27;23;38;33;39,6;71,8;5;8,9;2,7;0,000
;1956;11;28;10;28;13;40,8;72,7;5;9;2,8;0,000
;1956;12;9;9;9;25;39,8;70,8;5;8,8;2,7;0,000
;1956;12;10;10;6;0;41;70,4;5;10;3,3;0,001
;1956;12;11;22;48;17;41,2;71,6;5;10;3,3;0,001
;1956;12;19;23;53;59;42,2;70;5;9,7;3,2;0,001
;1956;12;20;2;24;19;41,6;71,5;5;9,7;3,2;0,001
;1956;12;26;18;26;28;41,4;73;5;8,8;2,7;0,000
;1956;12;26;18;27;33;41,7;71,4;5;10,2;3,4;0,002
;1957;1;8;9;21;36;41,12;72,45;10;9,6;3,1;0,000
;1957;1;30;9;48;2;39,87;71,78;5;10,5;3,6;0,003
;1957;2;9;19;3;1;39,5;74;5;9,7;3,2;0,001
;1957;2;10;11;32;35;39,67;70,47;20;10,1;3,4;0,001
;1957;2;17;21;39;46;39,95;70,54;5;10,8;3,8;0,006
;1957;2;18;12;45;35;39,57;71,1;5;8,7;2,6;0,000
;1957;2;21;23;0;36;41,05;71,5;5;9,4;3,0;0,000
;1957;3;4;3;28;57;40,57;72,22;30;12,2;4,6;0,158
;1957;3;4;4;8;2;40,5;72,3;5;9,3;2,9;0,000
;1957;3;11;10;7;13;39,94;70,37;5;10,3;3,5;0,002
;1957;3;14;8;58;56;40,65;72,48;5;9,1;2,8;0,000
;1957;3;19;8;59;52;41;73,33;15;10,8;3,8;0,006
;1957;3;20;19;32;57;39,6;73,3;5;9,8;3,2;0,001
;1957;3;21;7;18;20;42,01;71,25;15;10;3,3;0,001
;1957;3;28;11;34;58;40,25;70,37;5;10,8;3,8;0,006
;1957;3;31;11;0;26;39,53;71,28;10;9,6;3,1;0,000
;1957;4;3;4;57;44;41,87;73,72;10;10;3,3;0,001
;1957;4;5;11;0;28;39,62;69,77;10;8,7;2,6;0,000
;1957;4;7;9;43;25;41,1;72,13;10;8,8;2,7;0,000
;1957;4;7;11;43;37;39,68;70,78;5;8,6;2,6;0,000
;1957;4;8;0;42;9;40,6;73,1;5;9;2,8;0,000
;1957;4;11;7;26;30;41,54;73,15;5;11;3,9;0,010
;1957;4;11;19;44;0;39,8;72,6;5;9,4;3,0;0,000
;1957;4;12;12;27;26;39,5;73,9;5;9,3;2,9;0,000
;1957;4;17;9;33;40;42,17;71,58;10;10,4;3,6;0,003
;1957;4;20;19;35;20;39,67;70,82;5;8,6;2,6;0,000
;1957;4;26;7;23;42;39,8;73;5;9,7;3,2;0,001
;1957;4;30;16;22;22;41,6;73;15;9,8;3,2;0,001
;1957;5;1;1;6;32;41,86;72,38;15;9,7;3,2;0,001
;1957;5;1;18;56;23;41,92;72,3;15;11,1;3,9;0,013
;1957;5;2;7;30;33;41,43;72,67;10;11,3;4,1;0,020
;1957;5;2;7;48;41;41,63;72,68;15;9,5;3,1;0,000
;1957;5;10;22;56;41;39,8;73;5;9,6;3,1;0,000
;1957;5;12;20;9;22;39,54;72;5;10,9;3,8;0,008
;1957;5;14;12;19;48;41,1;71,8;5;9,5;3,1;0,000
;1957;5;18;17;49;0;41,5;71,5;5;9;2,8;0,000
;1957;5;20;23;30;5;42;69,7;5;10,9;3,8;0,008
;1957;5;22;2;55;22;39,57;71,22;5;10;3,3;0,001
;1957;5;22;2;56;57;39,57;71,22;5;9,6;3,1;0,000
;1957;5;22;10;59;30;40,05;71,92;5;8,8;2,7;0,000
;1957;5;28;15;39;2;40,05;72,33;5;11,6;4,2;0,040
;1957;5;29;4;31;10;40,1;72,4;5;10,1;3,4;0,001
;1957;6;9;18;34;22;40,07;71,47;5;10,5;3,6;0,003
;1957;6;11;1;31;53;39,2;67,8;5;11,2;4,0;0,016
;1957;6;11;23;8;16;39,96;73,5;15;9,5;3,1;0,000
;1957;6;17;6;17;48;42,05;72,1;10;9;2,8;0,000
;1957;6;20;5;54;55;39,8;68,6;5;9,1;2,8;0,000
;1957;6;21;17;38;33;42,43;71,65;15;10;3,3;0,001
;1957;6;21;22;16;10;42,35;71,65;10;10,4;3,6;0,003
;1957;6;25;13;22;47;39,6;67,4;5;10,3;3,5;0,002
;1957;6;28;4;4;14;39,5;74;5;8,7;2,6;0,000
;1957;6;28;17;1;42;39,5;72,5;5;10,7;3,7;0,005
;1957;6;29;4;37;44;41,15;72,58;10;10,5;3,6;0,003
